timestamp,mouseX,mouseY,mouseInTarget
1616776832937,807,509,0
1616776832967,806,509,0
1616776832976,805,509,0
1616776832990,804,509,0
1616776832992,803,510,0
1616776832997,802,510,0
1616776833004,801,511,0
1616776833006,800,511,0
1616776833013,798,512,0
1616776833018,796,513,0
1616776833022,795,514,0
1616776833027,793,514,0
1616776833036,792,515,0
1616776833037,790,516,0
1616776833042,789,517,0
1616776833049,787,518,0
1616776833051,785,519,0
1616776833057,783,520,0
1616776833065,781,521,0
1616776833067,778,523,0
1616776833072,776,524,0
1616776833078,773,525,0
1616776833081,770,527,0
1616776833087,767,528,0
1616776833095,764,530,0
1616776833096,761,531,0
1616776833102,757,532,0
1616776833108,754,534,0
1616776833111,751,535,0
1616776833117,748,536,0
1616776833125,745,537,0
1616776833126,742,538,0
1616776833132,738,539,0
1616776833138,735,539,0
1616776833141,731,540,0
1616776833151,724,541,0
1616776833156,720,542,0
1616776833162,716,542,0
1616776833164,712,543,0
1616776833171,708,543,0
1616776833177,704,543,0
1616776833180,700,543,0
1616776833187,695,543,0
1616776833192,691,543,0
1616776833195,687,542,0
1616776833201,683,542,0
1616776833207,678,542,0
1616776833210,674,542,0
1616776833216,670,541,0
1616776833222,665,541,0
1616776833225,661,541,0
1616776833231,656,541,0
1616776833237,652,540,1
1616776833240,647,540,1
1616776833246,643,540,1
1616776833252,638,540,1
1616776833255,634,540,1
1616776833262,629,539,1
1616776833267,625,539,1
1616776833270,620,539,1
1616776833276,616,538,1
1616776833282,612,538,1
1616776833285,607,538,1
1616776833291,603,537,1
1616776833297,599,537,1
1616776833299,595,536,1
1616776833306,590,536,1
1616776833312,586,536,1
1616776833315,582,535,1
1616776833321,578,534,1
1616776833324,574,534,1
1616776833330,570,533,1
1616776833336,566,533,1
1616776833339,562,532,1
1616776833345,558,532,1
1616776833351,554,531,1
1616776833354,551,531,1
1616776833360,547,530,1
1616776833366,543,529,1
1616776833369,540,529,1
1616776833376,536,528,1
1616776833381,533,527,1
1616776833384,530,526,1
1616776833390,527,525,1
1616776833396,524,523,1
1616776833399,521,522,1
1616776833405,518,521,1
1616776833412,515,519,1
1616776833415,512,518,1
1616776833420,509,517,1
1616776833426,507,515,1
1616776833430,504,514,1
1616776833436,502,512,1
1616776833441,499,511,1
1616776833445,496,510,1
1616776833450,494,508,1
1616776833456,491,507,1
1616776833459,488,506,1
1616776833465,486,505,1
1616776833471,483,503,1
1616776833474,480,502,1
1616776833480,478,501,1
1616776833486,475,499,0
1616776833489,472,498,1
1616776833495,470,496,0
1616776833498,467,495,0
1616776833505,464,493,0
1616776833510,461,492,0
1616776833514,458,490,0
1616776833519,455,489,1
1616776833525,452,487,1
1616776833528,449,486,1
1616776833535,446,484,1
1616776833540,443,483,1
1616776833544,441,481,1
1616776833549,438,479,1
1616776833555,435,477,1
1616776833558,432,476,1
1616776833565,429,474,1
1616776833570,427,471,1
1616776833574,424,469,1
1616776833579,422,467,1
1616776833585,419,464,1
1616776833588,417,462,1
1616776833595,415,459,1
1616776833600,413,456,1
1616776833604,411,454,1
1616776833609,409,451,1
1616776833615,407,448,1
1616776833618,405,445,1
1616776833626,403,442,1
1616776833630,401,440,1
1616776833634,399,437,1
1616776833639,397,434,1
1616776833645,395,432,1
1616776833648,393,429,1
1616776833655,391,427,1
1616776833661,388,424,1
1616776833664,386,422,1
